Date,LT_Rev
2020-01,-5.18
2020-02,-1.63
2020-03,-8.53
2020-04,3.13
2020-05,-2.44
2020-06,1.83
2020-07,-0.2
2020-08,1.89
2020-09,-3.0
2020-10,-0.95
2020-11,6.16
2020-12,-0.72
2021-01,9.3
2021-02,4.2
2021-03,3.22
2021-04,-1.83
2021-05,5.36
2021-06,-1.78
2021-07,-7.4
2021-08,-1.0
2021-09,4.78
2021-10,-3.15
2021-11,-4.12
2021-12,-0.14
2022-01,11.91
2022-02,5.23
2022-03,1.41
2022-04,7.01
2022-05,5.79
2022-06,-2.02
2022-07,-6.45
2022-08,4.37
2022-09,-1.26
2022-10,9.08
2022-11,-0.67
2022-12,2.11
2023-01,-1.21
2023-02,-2.19
2023-03,-5.75
2023-04,-0.55
2023-05,-3.96
2023-06,0.14
2023-07,3.19
2023-08,-2.49
2023-09,-0.05
2023-10,-2.02
2023-11,0.98
2023-12,0.21
2024-01,0.82
2024-02,0.61
2024-03,0.13
2024-04,-2.25
2024-05,-2.28
2024-06,-2.4
2024-07,1.74
2024-08,0.98
2024-09,-0.1
2024-10,2.21
2024-11,0.57
