Date,Mom   
2020-01,5.97
2020-02,-0.35
2020-03,7.96
2020-04,-5.26
2020-05,0.41
2020-06,-0.73
2020-07,7.59
2020-08,0.44
2020-09,3.14
2020-10,-3.2
2020-11,-12.47
2020-12,-2.38
2021-01,4.53
2021-02,-7.93
2021-03,-6.16
2021-04,1.22
2021-05,0.9
2021-06,2.16
2021-07,-2.31
2021-08,2.49
2021-09,1.5
2021-10,3.24
2021-11,0.86
2021-12,-2.74
2022-01,-2.62
2022-02,1.77
2022-03,2.97
2022-04,4.87
2022-05,2.46
2022-06,0.73
2022-07,-3.94
2022-08,2.1
2022-09,3.51
2022-10,3.96
2022-11,-1.98
2022-12,4.53
2023-01,-16.02
2023-02,0.13
2023-03,-2.45
2023-04,1.62
2023-05,-0.65
2023-06,-2.35
2023-07,-4.05
2023-08,3.77
2023-09,0.24
2023-10,1.68
2023-11,2.76
2023-12,-5.48
2024-01,5.08
2024-02,4.98
2024-03,-0.4
2024-04,-0.42
2024-05,-0.02
2024-06,0.9
2024-07,-2.42
2024-08,4.79
2024-09,-0.6
2024-10,2.87
2024-11,0.88
