Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2020-01,-0.11,-4.4,-6.25,-1.2,-2.3,0.13
2020-02,-8.13,0.04,-3.8,-1.49,-2.52,0.12
2020-03,-13.39,-8.24,-13.88,-1.56,1.26,0.13
2020-04,13.65,2.56,-1.34,2.73,-1.03,0.0
2020-05,5.58,1.99,-4.85,0.93,-3.24,0.01
2020-06,2.46,1.97,-2.23,0.13,0.53,0.01
2020-07,5.77,-3.18,-1.44,0.4,1.03,0.01
2020-08,7.63,-0.95,-2.88,4.33,-1.26,0.01
2020-09,-3.63,-0.05,-2.65,-1.28,-1.96,0.01
2020-10,-2.1,4.54,4.31,-0.76,-0.88,0.01
2020-11,12.47,7.05,2.15,-2.22,1.28,0.01
2020-12,4.63,4.7,-1.34,-1.88,-0.26,0.01
2021-01,-0.03,7.08,2.85,-3.92,5.18,0.01
2021-02,2.78,4.56,7.1,0.39,-1.95,0.0
2021-03,3.08,-0.78,7.27,6.34,3.57,0.0
2021-04,4.93,-3.16,-0.95,2.47,-2.71,0.0
2021-05,0.29,1.2,7.13,2.4,3.02,0.0
2021-06,2.75,-0.41,-7.75,-2.04,-1.02,0.0
2021-07,1.27,-4.59,-1.81,5.48,-0.52,0.0
2021-08,2.91,-0.71,-0.1,-0.22,-1.82,0.0
2021-09,-4.37,1.09,5.1,-1.95,2.09,0.0
2021-10,6.65,-2.72,-0.45,1.72,-1.44,0.0
2021-11,-1.55,-1.77,-0.41,7.27,1.74,0.0
2021-12,3.1,-0.79,3.22,4.83,4.32,0.01
2022-01,-6.25,-4.09,12.8,0.84,7.74,0.0
2022-02,-2.29,2.92,3.1,-2.1,3.16,0.0
2022-03,3.06,-2.2,-1.76,-1.5,3.18,0.01
2022-04,-9.46,-0.4,6.17,3.47,5.87,0.01
2022-05,-0.34,-0.16,8.59,1.7,3.99,0.03
2022-06,-8.44,1.36,-6.1,1.74,-4.72,0.06
2022-07,9.57,1.83,-4.03,0.85,-6.82,0.08
2022-08,-3.77,1.52,0.29,-4.79,1.33,0.19
2022-09,-9.35,-1.04,0.02,-1.46,-0.79,0.19
2022-10,7.83,1.88,8.06,3.31,6.62,0.23
2022-11,4.61,-2.75,1.41,6.32,3.2,0.29
2022-12,-6.41,-0.14,1.34,0.27,4.21,0.33
2023-01,6.64,4.42,-4.0,-2.42,-4.44,0.35
2023-02,-2.59,0.66,-0.83,1.03,-1.32,0.34
2023-03,2.51,-6.93,-8.87,2.33,-2.39,0.36
2023-04,0.61,-2.57,-0.05,2.42,2.85,0.35
2023-05,0.35,-0.38,-7.74,-1.82,-7.2,0.36
2023-06,6.47,1.36,-0.2,2.27,-1.62,0.4
2023-07,3.21,2.84,4.11,-0.57,0.62,0.45
2023-08,-2.39,-3.68,-1.08,3.42,-2.37,0.45
2023-09,-5.24,-1.79,1.45,1.85,-0.84,0.43
2023-10,-3.18,-4.05,0.19,2.47,-0.67,0.47
2023-11,8.83,-0.11,1.66,-3.81,-0.99,0.44
2023-12,4.87,7.33,4.92,-3.04,1.3,0.43
2024-01,0.7,-5.68,-2.47,0.66,-1.02,0.47
2024-02,5.07,-0.76,-3.52,-1.98,-2.16,0.42
2024-03,2.83,-1.18,4.22,1.47,1.19,0.43
2024-04,-4.67,-2.55,-0.52,1.48,-0.3,0.47
2024-05,4.34,0.77,-1.67,2.97,-3.07,0.44
2024-06,2.77,-4.37,-3.31,0.51,-1.78,0.41
2024-07,1.24,8.28,5.74,0.22,0.43,0.45
2024-08,1.61,-3.65,-1.13,0.85,0.86,0.48
2024-09,1.74,-1.02,-2.59,0.04,-0.26,0.4
2024-10,-0.97,-0.88,0.89,-1.38,1.03,0.39
2024-11,6.5,4.78,-0.05,-2.61,-2.17,0.4
