Date,Mkt-RF,SMB,HML,RF
2020-01,-0.11,-3.13,-6.25,0.13
2020-02,-8.13,1.07,-3.8,0.12
2020-03,-13.39,-4.79,-13.88,0.13
2020-04,13.65,2.45,-1.34,0.0
2020-05,5.58,2.49,-4.85,0.01
2020-06,2.46,2.69,-2.23,0.01
2020-07,5.77,-2.3,-1.44,0.01
2020-08,7.63,-0.28,-2.88,0.01
2020-09,-3.63,-0.03,-2.65,0.01
2020-10,-2.1,4.27,4.31,0.01
2020-11,12.47,5.72,2.15,0.01
2020-12,4.63,4.79,-1.34,0.01
2021-01,-0.03,7.5,2.85,0.01
2021-02,2.78,2.07,7.1,0.0
2021-03,3.08,-2.28,7.27,0.0
2021-04,4.93,-3.2,-0.95,0.0
2021-05,0.29,-0.27,7.13,0.0
2021-06,2.75,1.6,-7.75,0.0
2021-07,1.27,-3.94,-1.81,0.0
2021-08,2.91,-0.46,-0.1,0.0
2021-09,-4.37,0.67,5.1,0.0
2021-10,6.65,-2.37,-0.45,0.0
2021-11,-1.55,-1.32,-0.41,0.0
2021-12,3.1,-1.64,3.22,0.01
2022-01,-6.25,-5.96,12.8,0.0
2022-02,-2.29,2.19,3.1,0.0
2022-03,3.06,-1.66,-1.76,0.01
2022-04,-9.46,-1.38,6.17,0.01
2022-05,-0.34,-1.96,8.59,0.03
2022-06,-8.44,2.18,-6.1,0.06
2022-07,9.57,2.8,-4.03,0.08
2022-08,-3.77,1.4,0.29,0.19
2022-09,-9.35,-0.82,0.02,0.19
2022-10,7.83,0.07,8.06,0.23
2022-11,4.61,-3.51,1.41,0.29
2022-12,-6.41,-0.69,1.34,0.33
2023-01,6.64,5.01,-4.0,0.35
2023-02,-2.59,1.17,-0.83,0.34
2023-03,2.51,-5.51,-8.87,0.36
2023-04,0.61,-3.36,-0.05,0.35
2023-05,0.35,1.6,-7.74,0.36
2023-06,6.47,1.55,-0.2,0.4
2023-07,3.21,2.05,4.11,0.45
2023-08,-2.39,-3.2,-1.08,0.45
2023-09,-5.24,-2.49,1.45,0.43
2023-10,-3.18,-3.88,0.19,0.47
2023-11,8.83,-0.03,1.66,0.44
2023-12,4.87,6.36,4.92,0.43
2024-01,0.7,-5.02,-2.47,0.47
2024-02,5.07,-0.22,-3.52,0.42
2024-03,2.83,-2.51,4.22,0.43
2024-04,-4.67,-2.39,-0.52,0.47
2024-05,4.34,0.78,-1.67,0.44
2024-06,2.77,-3.06,-3.31,0.41
2024-07,1.24,6.8,5.74,0.45
2024-08,1.61,-3.55,-1.13,0.48
2024-09,1.74,-0.17,-2.59,0.4
2024-10,-0.97,-1.01,0.89,0.39
2024-11,6.5,4.63,-0.05,0.4
